零件名称,供应商名称,问题描述,故障类别,故障现象,临时措施1,临时措施2,临时措施3,原因分析1,原因分析2
顶盖内衬总成,华远软件科技有限公司,08月28日，商品化区域反馈尺寸超差导致装配间隙过大,电气,外观缺陷,1. 启动整车排查，排查83台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,方正科技信息有限公司,11月06日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,雨林木风计算机信息有限公司,07月13日，焊装车间反馈表面涂层脱落影响外观质量,功能,功能失效,1. 启动整车排查，排查77台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,创联世纪信息有限公司,10月13日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,功能失效,1. 立即隔离可疑批次，共隔离170件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,趋势网络有限公司,03月27日，发运场反馈密封条开胶导致漏水风险,尺寸,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,凌颖信息传媒有限公司,11月11日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,间隙超差,1. 立即隔离可疑批次，共隔离202件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,MBP软件传媒有限公司,03月13日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,电气,连接强度不足,1. 立即隔离可疑批次，共隔离100件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,群英科技有限公司,03月25日，总装车间反馈密封条开胶导致漏水风险,功能,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,鸿睿思博信息有限公司,09月06日，焊装车间反馈电子元件短路导致功能失效,电气,异响,1. 立即隔离可疑批次，共隔离98件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,恒聪百汇科技有限公司,12月25日，涂装车间反馈表面涂层脱落影响外观质量,尺寸,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,迪摩科技有限公司,08月20日，涂装车间反馈密封条开胶导致漏水风险,结构,异响,1. 立即隔离可疑批次，共隔离142件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,信诚致远网络有限公司,07月31日，焊装车间反馈密封条开胶导致漏水风险,结构,连接强度不足,1. 立即隔离可疑批次，共隔离296件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,昂歌信息传媒有限公司,02月22日，商品化区域反馈表面涂层脱落影响外观质量,结构,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,戴硕电子传媒有限公司,08月06日，总装车间反馈尺寸超差导致装配间隙过大,功能,功能失效,1. 启动整车排查，排查166台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,凌颖信息传媒有限公司,04月17日，涂装车间反馈电子元件短路导致功能失效,电气,功能失效,1. 启动整车排查，排查60台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,数字100传媒有限公司,04月04日，商品化区域反馈表面涂层脱落影响外观质量,电气,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,图龙信息信息有限公司,08月23日，发运场反馈表面涂层脱落影响外观质量,尺寸,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,恩悌传媒有限公司,08月12日，焊装车间反馈尺寸超差导致装配间隙过大,尺寸,异响,1. 启动整车排查，排查101台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,国讯科技有限公司,09月29日，发运场反馈电子元件短路导致功能失效,电气,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,精芯科技有限公司,10月05日，商品化区域反馈焊接虚焊导致结构强度不足,功能,连接强度不足,1. 启动整车排查，排查148台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,雨林木风计算机网络有限公司,01月07日，焊装车间反馈电子元件短路导致功能失效,结构,外观缺陷,1. 启动整车排查，排查62台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,南康网络有限公司,06月02日，发运场反馈焊接虚焊导致结构强度不足,结构,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,网新恒天科技有限公司,02月15日，商品化区域反馈尺寸超差导致装配间隙过大,尺寸,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,飞海科技传媒有限公司,06月06日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,开发区世创信息有限公司,10月23日，涂装车间反馈表面涂层脱落影响外观质量,尺寸,连接强度不足,1. 启动整车排查，排查53台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,易动力信息有限公司,08月31日，焊装车间反馈焊接虚焊导致结构强度不足,外观,异响,1. 启动整车排查，排查185台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,网新恒天科技有限公司,10月13日，总装车间反馈电子元件短路导致功能失效,尺寸,异响,1. 立即隔离可疑批次，共隔离358件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,立信电子信息有限公司,08月16日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,恒聪百汇科技有限公司,05月20日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,昊嘉信息有限公司,04月23日，发运场反馈焊接虚焊导致结构强度不足,功能,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,佳禾网络有限公司,07月08日，发运场反馈尺寸超差导致装配间隙过大,外观,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,雨林木风计算机传媒有限公司,05月31日，涂装车间反馈电子元件短路导致功能失效,外观,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,维旺明信息有限公司,02月07日，总装车间反馈密封条开胶导致漏水风险,结构,异响,1. 立即隔离可疑批次，共隔离197件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,九方传媒有限公司,11月06日，涂装车间反馈尺寸超差导致装配间隙过大,电气,功能失效,1. 启动整车排查，排查122台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,开发区世创传媒有限公司,03月02日，焊装车间反馈焊接虚焊导致结构强度不足,尺寸,连接强度不足,1. 启动整车排查，排查63台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,华远软件科技有限公司,07月30日，商品化区域反馈尺寸超差导致装配间隙过大,外观,异响,1. 立即隔离可疑批次，共隔离156件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,思优传媒有限公司,02月24日，总装车间反馈表面涂层脱落影响外观质量,电气,功能失效,1. 立即隔离可疑批次，共隔离456件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,兰金电子信息有限公司,01月06日，焊装车间反馈尺寸超差导致装配间隙过大,电气,外观缺陷,1. 立即隔离可疑批次，共隔离318件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,方正科技传媒有限公司,11月04日，总装车间反馈密封条开胶导致漏水风险,功能,连接强度不足,1. 启动整车排查，排查135台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,通际名联网络有限公司,05月04日，商品化区域反馈电子元件短路导致功能失效,外观,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,鑫博腾飞网络有限公司,11月14日，总装车间反馈尺寸超差导致装配间隙过大,外观,异响,1. 启动整车排查，排查115台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,信诚致远科技有限公司,12月04日，发运场反馈电子元件短路导致功能失效,电气,外观缺陷,1. 启动整车排查，排查102台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,合联电子科技有限公司,07月25日，总装车间反馈表面涂层脱落影响外观质量,结构,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,联软网络有限公司,05月09日，发运场反馈密封条开胶导致漏水风险,尺寸,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,惠派国际公司传媒有限公司,12月28日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,功能失效,1. 立即隔离可疑批次，共隔离219件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,富罳信息有限公司,03月07日，涂装车间反馈表面涂层脱落影响外观质量,功能,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,商软冠联传媒有限公司,04月12日，总装车间反馈焊接虚焊导致结构强度不足,结构,外观缺陷,1. 立即隔离可疑批次，共隔离341件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,网新恒天科技有限公司,06月06日，焊装车间反馈焊接虚焊导致结构强度不足,尺寸,功能失效,1. 立即隔离可疑批次，共隔离437件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,新宇龙信息传媒有限公司,07月30日，涂装车间反馈密封条开胶导致漏水风险,尺寸,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,迪摩科技有限公司,07月23日，涂装车间反馈电子元件短路导致功能失效,尺寸,功能失效,1. 立即隔离可疑批次，共隔离200件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,七喜信息有限公司,05月22日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,功能失效,1. 启动整车排查，排查142台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,联通时科科技有限公司,01月17日，商品化区域反馈电子元件短路导致功能失效,外观,异响,1. 立即隔离可疑批次，共隔离76件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,东方峻景传媒有限公司,12月21日，商品化区域反馈表面涂层脱落影响外观质量,功能,外观缺陷,1. 立即隔离可疑批次，共隔离272件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,和泰科技有限公司,05月16日，焊装车间反馈焊接虚焊导致结构强度不足,结构,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,天益传媒有限公司,02月21日，涂装车间反馈表面涂层脱落影响外观质量,外观,功能失效,1. 启动整车排查，排查124台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,MBP软件信息有限公司,09月15日，发运场反馈电子元件短路导致功能失效,结构,功能失效,1. 启动整车排查，排查193台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,趋势科技有限公司,07月24日，商品化区域反馈表面涂层脱落影响外观质量,结构,外观缺陷,1. 启动整车排查，排查167台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,佳禾传媒有限公司,09月09日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,商软冠联科技有限公司,03月06日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,功能失效,1. 立即隔离可疑批次，共隔离317件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,易动力信息有限公司,10月01日，发运场反馈电子元件短路导致功能失效,结构,异响,1. 立即隔离可疑批次，共隔离242件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,数字100信息有限公司,05月06日，涂装车间反馈表面涂层脱落影响外观质量,外观,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,四通科技有限公司,06月19日，焊装车间反馈尺寸超差导致装配间隙过大,结构,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,襄樊地球村传媒有限公司,07月31日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,间隙超差,1. 立即隔离可疑批次，共隔离226件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,数字100传媒有限公司,04月17日，焊装车间反馈密封条开胶导致漏水风险,结构,异响,1. 启动整车排查，排查128台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,飞利信信息有限公司,02月02日，总装车间反馈尺寸超差导致装配间隙过大,尺寸,外观缺陷,1. 启动整车排查，排查87台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,商软冠联传媒有限公司,07月18日，涂装车间反馈尺寸超差导致装配间隙过大,结构,外观缺陷,1. 启动整车排查，排查106台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,迪摩传媒有限公司,03月01日，商品化区域反馈电子元件短路导致功能失效,结构,异响,1. 启动整车排查，排查102台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,南康传媒有限公司,03月02日，涂装车间反馈密封条开胶导致漏水风险,尺寸,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,鸿睿思博信息有限公司,04月28日，商品化区域反馈焊接虚焊导致结构强度不足,结构,异响,1. 立即隔离可疑批次，共隔离58件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,信诚致远网络有限公司,03月18日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,时空盒数字传媒有限公司,07月26日，商品化区域反馈表面涂层脱落影响外观质量,功能,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,思优传媒有限公司,01月16日，发运场反馈表面涂层脱落影响外观质量,外观,异响,1. 立即隔离可疑批次，共隔离409件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,良诺网络有限公司,07月02日，总装车间反馈表面涂层脱落影响外观质量,外观,连接强度不足,1. 立即隔离可疑批次，共隔离299件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,同兴万点传媒有限公司,08月27日，焊装车间反馈电子元件短路导致功能失效,外观,间隙超差,1. 启动整车排查，排查167台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,双敏电子信息有限公司,03月22日，总装车间反馈密封条开胶导致漏水风险,电气,连接强度不足,1. 启动整车排查，排查70台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,昊嘉科技有限公司,08月31日，发运场反馈密封条开胶导致漏水风险,尺寸,异响,1. 启动整车排查，排查111台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,超艺信息有限公司,08月24日，涂装车间反馈尺寸超差导致装配间隙过大,外观,异响,1. 立即隔离可疑批次，共隔离463件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,济南亿次元信息有限公司,01月18日，总装车间反馈尺寸超差导致装配间隙过大,功能,功能失效,1. 启动整车排查，排查160台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,趋势科技有限公司,10月30日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,新宇龙信息科技有限公司,05月15日，涂装车间反馈电子元件短路导致功能失效,结构,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,恩悌信息有限公司,06月24日，焊装车间反馈尺寸超差导致装配间隙过大,结构,连接强度不足,1. 启动整车排查，排查191台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,南康科技有限公司,07月28日，涂装车间反馈电子元件短路导致功能失效,尺寸,连接强度不足,1. 启动整车排查，排查135台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,盟新科技有限公司,06月30日，涂装车间反馈尺寸超差导致装配间隙过大,功能,功能失效,1. 立即隔离可疑批次，共隔离109件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,华泰通安科技有限公司,01月18日，商品化区域反馈密封条开胶导致漏水风险,结构,连接强度不足,1. 启动整车排查，排查86台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,雨林木风计算机科技有限公司,05月09日，涂装车间反馈表面涂层脱落影响外观质量,结构,异响,1. 立即隔离可疑批次，共隔离497件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,商软冠联网络有限公司,06月04日，涂装车间反馈焊接虚焊导致结构强度不足,电气,异响,1. 启动整车排查，排查141台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,艾提科信科技有限公司,12月01日，总装车间反馈尺寸超差导致装配间隙过大,结构,异响,1. 立即隔离可疑批次，共隔离106件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,菊风公司科技有限公司,02月25日，焊装车间反馈尺寸超差导致装配间隙过大,结构,间隙超差,1. 启动整车排查，排查84台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,易动力科技有限公司,06月21日，焊装车间反馈表面涂层脱落影响外观质量,外观,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,通际名联信息有限公司,03月24日，总装车间反馈焊接虚焊导致结构强度不足,尺寸,功能失效,1. 启动整车排查，排查136台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,诺依曼软件传媒有限公司,02月16日，涂装车间反馈表面涂层脱落影响外观质量,结构,连接强度不足,1. 启动整车排查，排查62台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,时刻传媒有限公司,05月08日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,异响,1. 启动整车排查，排查178台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,国讯传媒有限公司,10月11日，涂装车间反馈尺寸超差导致装配间隙过大,尺寸,间隙超差,1. 启动整车排查，排查149台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
