序号,零部件名称,供应商名称,故障类型,故障现象,故障比例(%),根本原因
3849,ECU控制器,银嘉科技有限公司,功能,间隙超差,4.1,胶水固化参数设置错误
3850,线束总成,天益传媒有限公司,外观,压印,3,来料批次材料硬度超标
3851,线束总成,群英科技有限公司,外观,色差,1.3,设备定位销磨损导致加工位置度超差
3852,ECU控制器,太极科技有限公司,电气,色差,2.8,来料批次材料硬度超标
3853,ECU控制器,联通时科网络有限公司,外观,划伤,3.5,设备定位销磨损导致加工位置度超差
3854,ECU控制器,恒聪百汇传媒有限公司,尺寸,划伤,1.9,来料批次材料硬度超标
3855,线束总成,浦华众城科技有限公司,尺寸,间隙超差,0.1,设备定位销磨损导致加工位置度超差
3856,线束总成,联软信息有限公司,材料,压印,4.9,胶水固化参数设置错误
3857,前门密封条,雨林木风计算机信息有限公司,电气,压印,3.6,来料批次材料硬度超标
3858,线束总成,创亿信息有限公司,材料,间隙超差,0.5,设备定位销磨损导致加工位置度超差
3859,车门铰链总成,国讯网络有限公司,材料,色差,1.1,设备定位销磨损导致加工位置度超差
3860,前门密封条,恩悌信息有限公司,材料,压印,3.7,设备定位销磨损导致加工位置度超差
3861,ECU控制器,商软冠联网络有限公司,尺寸,短路,4.5,设备定位销磨损导致加工位置度超差
3862,ECU控制器,万迅电脑网络有限公司,材料,划伤,3.4,来料批次材料硬度超标
3863,后顶盖外板组件,维旺明科技有限公司,外观,间隙超差,3.5,胶水固化参数设置错误
3864,ECU控制器,立信电子科技有限公司,材料,色差,2.4,胶水固化参数设置错误
3865,线束总成,易动力传媒有限公司,尺寸,划伤,4.9,胶水固化参数设置错误
3866,线束总成,七喜网络有限公司,电气,间隙超差,0.3,胶水固化参数设置错误
3867,线束总成,银嘉科技有限公司,外观,间隙超差,4.7,胶水固化参数设置错误
3868,ECU控制器,方正科技网络有限公司,电气,色差,2.4,来料批次材料硬度超标
3869,后顶盖外板组件,国讯科技有限公司,功能,短路,2.6,胶水固化参数设置错误
3870,车门铰链总成,九方信息有限公司,外观,间隙超差,4.7,来料批次材料硬度超标
3871,车门铰链总成,方正科技传媒有限公司,外观,短路,4.1,胶水固化参数设置错误
3872,车门铰链总成,精芯传媒有限公司,材料,划伤,3,胶水固化参数设置错误
3873,线束总成,昊嘉科技有限公司,功能,压印,0.7,设备定位销磨损导致加工位置度超差
3874,线束总成,诺依曼软件科技有限公司,电气,压印,4.2,设备定位销磨损导致加工位置度超差
3875,ECU控制器,天开传媒有限公司,电气,间隙超差,3.4,设备定位销磨损导致加工位置度超差
3876,前门密封条,同兴万点传媒有限公司,电气,间隙超差,3.3,胶水固化参数设置错误
3877,线束总成,凌颖信息传媒有限公司,外观,短路,3.8,胶水固化参数设置错误
3878,线束总成,艾提科信信息有限公司,材料,短路,1.2,胶水固化参数设置错误
3879,前门密封条,群英信息有限公司,电气,间隙超差,0.9,设备定位销磨损导致加工位置度超差
3880,前门密封条,诺依曼软件网络有限公司,外观,色差,2.5,设备定位销磨损导致加工位置度超差
3881,车门铰链总成,鸿睿思博信息有限公司,电气,短路,1,设备定位销磨损导致加工位置度超差
3882,线束总成,维旺明网络有限公司,尺寸,间隙超差,2.1,来料批次材料硬度超标
3883,车门铰链总成,鸿睿思博科技有限公司,电气,间隙超差,2.7,设备定位销磨损导致加工位置度超差
3884,后顶盖外板组件,华成育卓传媒有限公司,尺寸,短路,2.8,胶水固化参数设置错误
3885,线束总成,时刻传媒有限公司,尺寸,压印,1.7,设备定位销磨损导致加工位置度超差
3886,ECU控制器,精芯科技有限公司,功能,间隙超差,3.6,设备定位销磨损导致加工位置度超差
3887,车门铰链总成,九方信息有限公司,材料,间隙超差,1.8,胶水固化参数设置错误
3888,线束总成,商软冠联科技有限公司,外观,划伤,3.5,设备定位销磨损导致加工位置度超差
3889,ECU控制器,鑫博腾飞网络有限公司,尺寸,压印,4.7,设备定位销磨损导致加工位置度超差
3890,后顶盖外板组件,创亿科技有限公司,功能,划伤,4.3,来料批次材料硬度超标
3891,线束总成,鸿睿思博传媒有限公司,材料,划伤,3.1,设备定位销磨损导致加工位置度超差
3892,线束总成,华成育卓信息有限公司,材料,短路,2.2,来料批次材料硬度超标
3893,前门密封条,黄石金承网络有限公司,功能,色差,5,胶水固化参数设置错误
3894,线束总成,创亿科技有限公司,尺寸,短路,2.9,来料批次材料硬度超标
3895,后顶盖外板组件,银嘉信息有限公司,电气,压印,2.8,设备定位销磨损导致加工位置度超差
3896,线束总成,富罳科技有限公司,功能,色差,0.8,来料批次材料硬度超标
3897,线束总成,开发区世创信息有限公司,尺寸,压印,2,设备定位销磨损导致加工位置度超差
3898,车门铰链总成,九方科技有限公司,功能,短路,1.2,设备定位销磨损导致加工位置度超差
3899,后顶盖外板组件,超艺网络有限公司,尺寸,压印,3.5,设备定位销磨损导致加工位置度超差
3900,车门铰链总成,天开信息有限公司,材料,压印,0.2,来料批次材料硬度超标
3901,后顶盖外板组件,泰麒麟网络有限公司,电气,压印,2.1,来料批次材料硬度超标
3902,前门密封条,鑫博腾飞科技有限公司,材料,压印,0.2,来料批次材料硬度超标
3903,线束总成,MBP软件科技有限公司,外观,色差,2.7,胶水固化参数设置错误
3904,后顶盖外板组件,恩悌信息有限公司,外观,划伤,0.8,设备定位销磨损导致加工位置度超差
3905,车门铰链总成,新格林耐特网络有限公司,功能,划伤,2.5,胶水固化参数设置错误
3906,车门铰链总成,飞利信传媒有限公司,外观,短路,2.3,来料批次材料硬度超标
3907,前门密封条,诺依曼软件科技有限公司,电气,色差,1.7,胶水固化参数设置错误
3908,后顶盖外板组件,开发区世创网络有限公司,电气,色差,1.8,设备定位销磨损导致加工位置度超差
3909,ECU控制器,维涛信息有限公司,电气,压印,0.5,胶水固化参数设置错误
3910,前门密封条,九方信息有限公司,电气,色差,4.5,胶水固化参数设置错误
3911,后顶盖外板组件,浦华众城科技有限公司,电气,压印,4.2,来料批次材料硬度超标
3912,ECU控制器,富罳网络有限公司,材料,短路,3.7,胶水固化参数设置错误
3913,后顶盖外板组件,浙大万朋网络有限公司,功能,划伤,3,胶水固化参数设置错误
3914,后顶盖外板组件,太极网络有限公司,电气,间隙超差,2.2,胶水固化参数设置错误
3915,后顶盖外板组件,趋势科技有限公司,材料,色差,4.9,胶水固化参数设置错误
3916,前门密封条,盟新科技有限公司,材料,划伤,2.7,设备定位销磨损导致加工位置度超差
3917,车门铰链总成,趋势信息有限公司,外观,色差,2.6,设备定位销磨损导致加工位置度超差
3918,后顶盖外板组件,菊风公司信息有限公司,电气,间隙超差,1.1,设备定位销磨损导致加工位置度超差
3919,前门密封条,黄石金承科技有限公司,功能,压印,3.5,胶水固化参数设置错误
3920,前门密封条,信诚致远科技有限公司,外观,划伤,2.9,来料批次材料硬度超标
3921,ECU控制器,浙大万朋网络有限公司,电气,短路,2.7,胶水固化参数设置错误
3922,后顶盖外板组件,恩悌网络有限公司,外观,间隙超差,3.5,设备定位销磨损导致加工位置度超差
3923,前门密封条,新宇龙信息传媒有限公司,外观,色差,0.2,来料批次材料硬度超标
3924,车门铰链总成,昂歌信息信息有限公司,功能,短路,1.5,胶水固化参数设置错误
3925,线束总成,华远软件传媒有限公司,功能,色差,2.5,胶水固化参数设置错误
3926,ECU控制器,群英信息有限公司,外观,色差,3.3,设备定位销磨损导致加工位置度超差
3927,前门密封条,飞利信信息有限公司,尺寸,压印,3.2,胶水固化参数设置错误
3928,车门铰链总成,泰麒麟信息有限公司,电气,压印,4.1,来料批次材料硬度超标
3929,后顶盖外板组件,方正科技信息有限公司,材料,压印,1.6,设备定位销磨损导致加工位置度超差
3930,车门铰链总成,时刻传媒有限公司,电气,划伤,3.6,来料批次材料硬度超标
3931,ECU控制器,中建创业传媒有限公司,外观,短路,2.2,来料批次材料硬度超标
3932,线束总成,数字100传媒有限公司,尺寸,短路,5,胶水固化参数设置错误
3933,后顶盖外板组件,银嘉网络有限公司,尺寸,短路,2.2,设备定位销磨损导致加工位置度超差
3934,车门铰链总成,网新恒天信息有限公司,功能,压印,3.3,来料批次材料硬度超标
3935,ECU控制器,飞海科技信息有限公司,电气,压印,2.2,来料批次材料硬度超标
3936,前门密封条,雨林木风计算机传媒有限公司,材料,间隙超差,3.9,胶水固化参数设置错误
3937,后顶盖外板组件,凌云科技有限公司,尺寸,间隙超差,3,设备定位销磨损导致加工位置度超差
3938,ECU控制器,恩悌科技有限公司,外观,间隙超差,1.6,设备定位销磨损导致加工位置度超差
3939,车门铰链总成,太极传媒有限公司,尺寸,划伤,1.6,设备定位销磨损导致加工位置度超差
3940,前门密封条,联通时科信息有限公司,电气,划伤,3.3,来料批次材料硬度超标
3941,前门密封条,襄樊地球村网络有限公司,材料,划伤,1.2,设备定位销磨损导致加工位置度超差
3942,前门密封条,诺依曼软件网络有限公司,电气,划伤,4,胶水固化参数设置错误
3943,ECU控制器,艾提科信信息有限公司,外观,压印,0.8,胶水固化参数设置错误
3944,ECU控制器,凌云传媒有限公司,尺寸,压印,4.6,来料批次材料硬度超标
3945,前门密封条,九方信息有限公司,功能,划伤,2.5,来料批次材料硬度超标
3946,后顶盖外板组件,华成育卓传媒有限公司,材料,色差,0.7,胶水固化参数设置错误
3947,前门密封条,开发区世创传媒有限公司,材料,划伤,4.7,胶水固化参数设置错误
3948,ECU控制器,恒聪百汇信息有限公司,电气,划伤,1.9,设备定位销磨损导致加工位置度超差
3949,ECU控制器,合联电子信息有限公司,功能,间隙超差,0.9,设备定位销磨损导致加工位置度超差
3950,前门密封条,凌云网络有限公司,功能,划伤,3.1,胶水固化参数设置错误
3951,后顶盖外板组件,信诚致远科技有限公司,尺寸,间隙超差,4.6,设备定位销磨损导致加工位置度超差
3952,前门密封条,海创传媒有限公司,材料,间隙超差,1.2,设备定位销磨损导致加工位置度超差
3953,后顶盖外板组件,浦华众城信息有限公司,材料,压印,1.8,来料批次材料硬度超标
3954,线束总成,数字100传媒有限公司,外观,间隙超差,4.7,来料批次材料硬度超标
3955,ECU控制器,飞海科技传媒有限公司,材料,划伤,4.2,设备定位销磨损导致加工位置度超差
3956,ECU控制器,迪摩科技有限公司,电气,间隙超差,0.7,胶水固化参数设置错误
3957,车门铰链总成,新宇龙信息科技有限公司,外观,划伤,2.9,来料批次材料硬度超标
3958,车门铰链总成,晖来计算机信息有限公司,尺寸,划伤,1.7,来料批次材料硬度超标
3959,线束总成,易动力传媒有限公司,外观,压印,0.5,来料批次材料硬度超标
3960,ECU控制器,群英传媒有限公司,外观,压印,4.5,胶水固化参数设置错误
3961,ECU控制器,兰金电子科技有限公司,电气,间隙超差,4.9,设备定位销磨损导致加工位置度超差
3962,ECU控制器,中建创业网络有限公司,外观,间隙超差,3.4,设备定位销磨损导致加工位置度超差
3963,前门密封条,恒聪百汇传媒有限公司,功能,短路,1.1,来料批次材料硬度超标
3964,线束总成,恒聪百汇科技有限公司,尺寸,压印,0.8,来料批次材料硬度超标
3965,线束总成,九方科技有限公司,尺寸,短路,2.1,胶水固化参数设置错误
3966,车门铰链总成,毕博诚信息有限公司,材料,短路,3.5,设备定位销磨损导致加工位置度超差
3967,线束总成,维涛科技有限公司,电气,短路,0.2,设备定位销磨损导致加工位置度超差
3968,后顶盖外板组件,诺依曼软件信息有限公司,外观,压印,1,胶水固化参数设置错误
3969,车门铰链总成,数字100网络有限公司,功能,色差,1.6,来料批次材料硬度超标
3970,线束总成,凌云网络有限公司,功能,压印,0.9,设备定位销磨损导致加工位置度超差
3971,前门密封条,昊嘉网络有限公司,电气,压印,1.8,设备定位销磨损导致加工位置度超差
3972,前门密封条,鑫博腾飞网络有限公司,外观,色差,1.7,胶水固化参数设置错误
3973,车门铰链总成,迪摩网络有限公司,尺寸,色差,3,来料批次材料硬度超标
3974,ECU控制器,创联世纪网络有限公司,材料,划伤,1,设备定位销磨损导致加工位置度超差
3975,前门密封条,新宇龙信息信息有限公司,功能,短路,4.2,胶水固化参数设置错误
3976,线束总成,飞利信传媒有限公司,尺寸,间隙超差,3.1,胶水固化参数设置错误
3977,线束总成,思优信息有限公司,功能,色差,3.5,来料批次材料硬度超标
3978,ECU控制器,七喜网络有限公司,材料,压印,4.2,设备定位销磨损导致加工位置度超差
3979,线束总成,维涛科技有限公司,功能,压印,1.8,胶水固化参数设置错误
3980,ECU控制器,中建创业传媒有限公司,功能,划伤,3,胶水固化参数设置错误
3981,前门密封条,富罳网络有限公司,电气,短路,2.4,设备定位销磨损导致加工位置度超差
3982,ECU控制器,立信电子传媒有限公司,电气,划伤,3.1,来料批次材料硬度超标
3983,后顶盖外板组件,菊风公司传媒有限公司,尺寸,划伤,4.5,设备定位销磨损导致加工位置度超差
3984,车门铰链总成,鑫博腾飞网络有限公司,外观,压印,3.4,来料批次材料硬度超标
3985,后顶盖外板组件,黄石金承科技有限公司,功能,间隙超差,4.5,胶水固化参数设置错误
3986,车门铰链总成,超艺科技有限公司,功能,间隙超差,2.5,来料批次材料硬度超标
3987,前门密封条,襄樊地球村信息有限公司,功能,间隙超差,4.9,设备定位销磨损导致加工位置度超差
3988,前门密封条,数字100科技有限公司,外观,色差,0.6,设备定位销磨损导致加工位置度超差
3989,线束总成,昊嘉传媒有限公司,材料,色差,0.6,设备定位销磨损导致加工位置度超差
3990,车门铰链总成,新宇龙信息传媒有限公司,外观,短路,2.4,胶水固化参数设置错误
3991,ECU控制器,华远软件科技有限公司,尺寸,间隙超差,4.4,胶水固化参数设置错误
3992,后顶盖外板组件,天益信息有限公司,外观,压印,1.1,设备定位销磨损导致加工位置度超差
3993,ECU控制器,合联电子信息有限公司,材料,间隙超差,0.5,设备定位销磨损导致加工位置度超差
3994,后顶盖外板组件,MBP软件信息有限公司,尺寸,划伤,1.1,胶水固化参数设置错误
3995,前门密封条,海创信息有限公司,尺寸,间隙超差,2.2,设备定位销磨损导致加工位置度超差
3996,后顶盖外板组件,创联世纪传媒有限公司,尺寸,压印,4.6,设备定位销磨损导致加工位置度超差
3997,后顶盖外板组件,创亿科技有限公司,电气,间隙超差,0.6,胶水固化参数设置错误
3998,ECU控制器,快讯网络有限公司,尺寸,色差,2.7,胶水固化参数设置错误
3999,ECU控制器,中建创业信息有限公司,电气,压印,4.5,设备定位销磨损导致加工位置度超差
4000,车门铰链总成,维旺明信息有限公司,外观,色差,4.3,胶水固化参数设置错误
4001,后顶盖外板组件,万迅电脑传媒有限公司,功能,短路,2.4,来料批次材料硬度超标
4002,ECU控制器,群英科技有限公司,电气,短路,3.1,设备定位销磨损导致加工位置度超差
4003,线束总成,雨林木风计算机科技有限公司,外观,短路,0.5,设备定位销磨损导致加工位置度超差
4004,前门密封条,数字100科技有限公司,尺寸,划伤,1.2,胶水固化参数设置错误
4005,线束总成,天益传媒有限公司,材料,间隙超差,3.9,来料批次材料硬度超标
4006,后顶盖外板组件,超艺信息有限公司,电气,间隙超差,1.7,来料批次材料硬度超标
4007,车门铰链总成,商软冠联信息有限公司,外观,压印,1.1,设备定位销磨损导致加工位置度超差
4008,线束总成,浦华众城网络有限公司,外观,划伤,3.1,来料批次材料硬度超标
4009,线束总成,新宇龙信息网络有限公司,功能,间隙超差,1.6,设备定位销磨损导致加工位置度超差
4010,车门铰链总成,银嘉科技有限公司,电气,压印,0.5,来料批次材料硬度超标
4011,线束总成,毕博诚信息有限公司,功能,间隙超差,1.2,胶水固化参数设置错误
4012,线束总成,七喜科技有限公司,材料,压印,4.4,胶水固化参数设置错误
4013,车门铰链总成,MBP软件网络有限公司,外观,划伤,3,胶水固化参数设置错误
4014,ECU控制器,双敏电子网络有限公司,尺寸,短路,1.7,设备定位销磨损导致加工位置度超差
4015,前门密封条,四通传媒有限公司,材料,划伤,1.9,胶水固化参数设置错误
4016,后顶盖外板组件,飞海科技网络有限公司,材料,色差,2.4,设备定位销磨损导致加工位置度超差
4017,后顶盖外板组件,昊嘉传媒有限公司,尺寸,短路,4.9,来料批次材料硬度超标
4018,车门铰链总成,飞利信科技有限公司,电气,色差,0.4,设备定位销磨损导致加工位置度超差
4019,线束总成,同兴万点信息有限公司,尺寸,间隙超差,1.2,胶水固化参数设置错误
4020,车门铰链总成,浦华众城传媒有限公司,材料,间隙超差,5,设备定位销磨损导致加工位置度超差
4021,后顶盖外板组件,时刻传媒有限公司,电气,压印,4.2,来料批次材料硬度超标
4022,线束总成,和泰传媒有限公司,尺寸,间隙超差,0.7,胶水固化参数设置错误
4023,车门铰链总成,国讯信息有限公司,电气,间隙超差,4.6,设备定位销磨损导致加工位置度超差
4024,ECU控制器,通际名联科技有限公司,外观,压印,1.6,设备定位销磨损导致加工位置度超差
4025,后顶盖外板组件,艾提科信信息有限公司,外观,色差,1.9,设备定位销磨损导致加工位置度超差
4026,车门铰链总成,昂歌信息传媒有限公司,外观,短路,4.8,设备定位销磨损导致加工位置度超差
4027,ECU控制器,时刻信息有限公司,外观,色差,2.2,设备定位销磨损导致加工位置度超差
4028,车门铰链总成,巨奥信息有限公司,电气,色差,0.4,设备定位销磨损导致加工位置度超差
4029,后顶盖外板组件,开发区世创信息有限公司,功能,压印,2.3,胶水固化参数设置错误
4030,线束总成,鑫博腾飞网络有限公司,尺寸,划伤,3.6,来料批次材料硬度超标
4031,后顶盖外板组件,艾提科信科技有限公司,材料,压印,3.2,来料批次材料硬度超标
4032,ECU控制器,华远软件科技有限公司,功能,压印,5,胶水固化参数设置错误
4033,后顶盖外板组件,图龙信息科技有限公司,功能,色差,2.6,胶水固化参数设置错误
4034,线束总成,创联世纪传媒有限公司,外观,短路,2.1,胶水固化参数设置错误
4035,前门密封条,通际名联信息有限公司,材料,色差,4.4,胶水固化参数设置错误
4036,后顶盖外板组件,黄石金承信息有限公司,材料,压印,4.1,来料批次材料硬度超标
4037,后顶盖外板组件,盟新网络有限公司,电气,间隙超差,0.3,设备定位销磨损导致加工位置度超差
4038,前门密封条,彩虹传媒有限公司,功能,色差,2,来料批次材料硬度超标
4039,后顶盖外板组件,开发区世创网络有限公司,电气,短路,1.5,设备定位销磨损导致加工位置度超差
4040,后顶盖外板组件,浦华众城信息有限公司,外观,压印,0.6,来料批次材料硬度超标
4041,车门铰链总成,凌云科技有限公司,电气,间隙超差,4.9,设备定位销磨损导致加工位置度超差
4042,车门铰链总成,创汇信息有限公司,材料,划伤,2.5,设备定位销磨损导致加工位置度超差
4043,ECU控制器,同兴万点网络有限公司,材料,短路,4.9,设备定位销磨损导致加工位置度超差
4044,车门铰链总成,昂歌信息网络有限公司,功能,间隙超差,0.9,来料批次材料硬度超标
4045,前门密封条,思优传媒有限公司,尺寸,压印,1.5,来料批次材料硬度超标
4046,前门密封条,良诺科技有限公司,功能,色差,3.3,来料批次材料硬度超标
4047,线束总成,创亿传媒有限公司,电气,压印,2.4,设备定位销磨损导致加工位置度超差
4048,前门密封条,银嘉传媒有限公司,外观,间隙超差,0.2,胶水固化参数设置错误
4049,线束总成,华远软件科技有限公司,材料,间隙超差,2.1,设备定位销磨损导致加工位置度超差
4050,车门铰链总成,商软冠联传媒有限公司,材料,间隙超差,4.6,胶水固化参数设置错误
4051,车门铰链总成,恩悌科技有限公司,电气,短路,2.3,设备定位销磨损导致加工位置度超差
4052,后顶盖外板组件,雨林木风计算机传媒有限公司,尺寸,色差,2.6,设备定位销磨损导致加工位置度超差
4053,线束总成,佳禾传媒有限公司,电气,短路,3.8,设备定位销磨损导致加工位置度超差
4054,ECU控制器,泰麒麟网络有限公司,功能,压印,1,来料批次材料硬度超标
4055,后顶盖外板组件,东方峻景科技有限公司,外观,色差,0.9,来料批次材料硬度超标
4056,车门铰链总成,海创信息有限公司,功能,色差,4.7,设备定位销磨损导致加工位置度超差
4057,ECU控制器,易动力信息有限公司,材料,划伤,1.6,设备定位销磨损导致加工位置度超差
4058,后顶盖外板组件,盟新传媒有限公司,材料,间隙超差,0.3,来料批次材料硬度超标
4059,前门密封条,济南亿次元传媒有限公司,功能,压印,0.9,来料批次材料硬度超标
4060,车门铰链总成,商软冠联科技有限公司,电气,间隙超差,0.8,胶水固化参数设置错误
4061,ECU控制器,方正科技信息有限公司,功能,划伤,0.2,胶水固化参数设置错误
4062,ECU控制器,创联世纪网络有限公司,外观,短路,1.4,设备定位销磨损导致加工位置度超差
4063,线束总成,商软冠联信息有限公司,功能,色差,3.3,设备定位销磨损导致加工位置度超差
4064,前门密封条,南康信息有限公司,功能,划伤,3,胶水固化参数设置错误
4065,ECU控制器,彩虹传媒有限公司,尺寸,压印,1.2,设备定位销磨损导致加工位置度超差
4066,ECU控制器,南康信息有限公司,材料,划伤,0.9,设备定位销磨损导致加工位置度超差
4067,后顶盖外板组件,明腾网络有限公司,材料,压印,1.3,设备定位销磨损导致加工位置度超差
4068,车门铰链总成,时刻传媒有限公司,外观,短路,4.9,来料批次材料硬度超标
4069,线束总成,泰麒麟传媒有限公司,材料,色差,4.4,来料批次材料硬度超标
4070,后顶盖外板组件,图龙信息传媒有限公司,电气,色差,1.9,设备定位销磨损导致加工位置度超差
4071,车门铰链总成,双敏电子科技有限公司,尺寸,色差,0.4,胶水固化参数设置错误
4072,ECU控制器,易动力科技有限公司,功能,间隙超差,1.9,来料批次材料硬度超标
4073,线束总成,富罳网络有限公司,电气,间隙超差,1.3,设备定位销磨损导致加工位置度超差
4074,线束总成,迪摩信息有限公司,材料,压印,3.8,胶水固化参数设置错误
4075,后顶盖外板组件,盟新传媒有限公司,材料,间隙超差,3.2,来料批次材料硬度超标
4076,后顶盖外板组件,联通时科网络有限公司,电气,色差,1,设备定位销磨损导致加工位置度超差
4077,车门铰链总成,鸿睿思博科技有限公司,功能,压印,3.8,设备定位销磨损导致加工位置度超差
4078,后顶盖外板组件,九方科技有限公司,尺寸,压印,1.3,胶水固化参数设置错误
4079,车门铰链总成,凌云传媒有限公司,外观,间隙超差,2.6,来料批次材料硬度超标
4080,前门密封条,易动力传媒有限公司,功能,压印,4.8,设备定位销磨损导致加工位置度超差
4081,车门铰链总成,易动力网络有限公司,电气,短路,2.3,来料批次材料硬度超标
4082,ECU控制器,菊风公司网络有限公司,功能,压印,2.6,来料批次材料硬度超标
4083,车门铰链总成,七喜传媒有限公司,电气,压印,3.2,设备定位销磨损导致加工位置度超差
4084,前门密封条,浙大万朋网络有限公司,尺寸,色差,2.1,胶水固化参数设置错误
4085,前门密封条,凌云科技有限公司,尺寸,短路,2.5,来料批次材料硬度超标
4086,前门密封条,双敏电子网络有限公司,功能,色差,2.6,来料批次材料硬度超标
4087,车门铰链总成,易动力科技有限公司,功能,间隙超差,2,来料批次材料硬度超标
4088,后顶盖外板组件,易动力传媒有限公司,材料,色差,3.1,胶水固化参数设置错误
4089,线束总成,超艺科技有限公司,电气,划伤,0.3,胶水固化参数设置错误
4090,后顶盖外板组件,迪摩科技有限公司,尺寸,间隙超差,3.6,胶水固化参数设置错误
4091,前门密封条,良诺信息有限公司,尺寸,划伤,0.6,设备定位销磨损导致加工位置度超差
4092,车门铰链总成,商软冠联科技有限公司,尺寸,色差,2.5,设备定位销磨损导致加工位置度超差
4093,前门密封条,和泰科技有限公司,电气,短路,4.3,设备定位销磨损导致加工位置度超差
4094,线束总成,戴硕电子网络有限公司,功能,间隙超差,3.4,胶水固化参数设置错误
4095,前门密封条,华远软件网络有限公司,尺寸,压印,1,设备定位销磨损导致加工位置度超差
4096,后顶盖外板组件,联通时科传媒有限公司,尺寸,间隙超差,0.5,胶水固化参数设置错误
4097,前门密封条,网新恒天网络有限公司,电气,划伤,2.8,胶水固化参数设置错误
4098,车门铰链总成,飞利信信息有限公司,尺寸,色差,1.4,来料批次材料硬度超标
4099,前门密封条,七喜科技有限公司,电气,色差,1.8,设备定位销磨损导致加工位置度超差
4100,前门密封条,黄石金承科技有限公司,材料,色差,1.4,胶水固化参数设置错误
4101,车门铰链总成,数字100信息有限公司,功能,间隙超差,0.8,胶水固化参数设置错误
4102,线束总成,惠派国际公司传媒有限公司,电气,划伤,0.3,设备定位销磨损导致加工位置度超差
4103,ECU控制器,双敏电子传媒有限公司,材料,划伤,0.9,来料批次材料硬度超标
4104,线束总成,恩悌科技有限公司,功能,间隙超差,4,设备定位销磨损导致加工位置度超差
4105,后顶盖外板组件,彩虹网络有限公司,尺寸,短路,4.1,来料批次材料硬度超标
4106,后顶盖外板组件,维涛科技有限公司,外观,色差,3,设备定位销磨损导致加工位置度超差
4107,后顶盖外板组件,浙大万朋传媒有限公司,功能,色差,5,来料批次材料硬度超标
4108,车门铰链总成,鸿睿思博传媒有限公司,外观,色差,2.2,胶水固化参数设置错误
4109,ECU控制器,恒聪百汇网络有限公司,外观,短路,4.7,来料批次材料硬度超标
4110,车门铰链总成,兰金电子科技有限公司,材料,短路,2.1,设备定位销磨损导致加工位置度超差
4111,后顶盖外板组件,盟新传媒有限公司,尺寸,划伤,0.5,来料批次材料硬度超标
4112,线束总成,国讯传媒有限公司,尺寸,色差,2.5,来料批次材料硬度超标
4113,前门密封条,商软冠联科技有限公司,尺寸,压印,4.4,来料批次材料硬度超标
4114,前门密封条,时空盒数字网络有限公司,电气,划伤,1.7,来料批次材料硬度超标
4115,线束总成,趋势信息有限公司,电气,色差,4.8,胶水固化参数设置错误
4116,后顶盖外板组件,万迅电脑网络有限公司,尺寸,划伤,1,设备定位销磨损导致加工位置度超差
4117,前门密封条,国讯传媒有限公司,尺寸,间隙超差,3.1,设备定位销磨损导致加工位置度超差
4118,后顶盖外板组件,易动力科技有限公司,尺寸,划伤,3.7,胶水固化参数设置错误
4119,前门密封条,黄石金承科技有限公司,尺寸,色差,1.5,设备定位销磨损导致加工位置度超差
4120,后顶盖外板组件,恒聪百汇信息有限公司,尺寸,间隙超差,2.1,设备定位销磨损导致加工位置度超差
4121,前门密封条,济南亿次元网络有限公司,材料,压印,4.6,来料批次材料硬度超标
4122,ECU控制器,华远软件信息有限公司,功能,间隙超差,2.8,胶水固化参数设置错误
4123,线束总成,信诚致远信息有限公司,材料,短路,4.6,设备定位销磨损导致加工位置度超差
4124,后顶盖外板组件,佳禾科技有限公司,材料,间隙超差,4.9,来料批次材料硬度超标
4125,车门铰链总成,同兴万点传媒有限公司,外观,压印,2.9,设备定位销磨损导致加工位置度超差
4126,后顶盖外板组件,超艺传媒有限公司,材料,划伤,1.8,设备定位销磨损导致加工位置度超差
4127,车门铰链总成,济南亿次元传媒有限公司,尺寸,压印,4.4,来料批次材料硬度超标
4128,ECU控制器,浙大万朋科技有限公司,功能,压印,2.3,来料批次材料硬度超标
4129,后顶盖外板组件,天开信息有限公司,外观,划伤,2.8,设备定位销磨损导致加工位置度超差
4130,后顶盖外板组件,恩悌传媒有限公司,材料,色差,3.1,胶水固化参数设置错误
4131,前门密封条,方正科技传媒有限公司,电气,短路,0.9,胶水固化参数设置错误
4132,线束总成,南康信息有限公司,材料,间隙超差,2.5,胶水固化参数设置错误
4133,ECU控制器,海创网络有限公司,材料,划伤,1.1,设备定位销磨损导致加工位置度超差
4134,前门密封条,天益网络有限公司,电气,间隙超差,1.6,设备定位销磨损导致加工位置度超差
4135,后顶盖外板组件,太极信息有限公司,外观,短路,2.1,设备定位销磨损导致加工位置度超差
4136,前门密封条,七喜科技有限公司,功能,色差,1.5,设备定位销磨损导致加工位置度超差
4137,ECU控制器,同兴万点网络有限公司,材料,划伤,2.3,设备定位销磨损导致加工位置度超差
4138,前门密封条,七喜科技有限公司,外观,间隙超差,0.9,胶水固化参数设置错误
4139,线束总成,东方峻景传媒有限公司,功能,压印,3.1,胶水固化参数设置错误
4140,ECU控制器,精芯科技有限公司,材料,色差,3.9,胶水固化参数设置错误
4141,后顶盖外板组件,思优网络有限公司,尺寸,间隙超差,3.6,来料批次材料硬度超标
4142,前门密封条,华远软件网络有限公司,功能,划伤,1.9,胶水固化参数设置错误
4143,后顶盖外板组件,东方峻景科技有限公司,电气,压印,4.6,设备定位销磨损导致加工位置度超差
